Gene	Flowers	IL	ML	Stem	Root
CRO_T100001	3.94	5.7	6.54	7.45	1.08
CRO_T100002	0.21	0.57	0.21	0.47	0
CRO_T100003	0.17	0.16	0.19	0	0
CRO_T100004	0.72	0.95	0.32	0.47	1.04
CRO_T100005	6.28	20.88	2.49	24.75	7.14
CRO_T100006	1.97	0.86	0.79	0.88	2.27
CRO_T100007	0.89	0	0.9	0.93	0
CRO_T100008	0	0	0	0	0
CRO_T100009	7.95	22.66	11.37	125.73	52.37
CRO_T100011	9.42	18.82	8.25	102.86	59.05
CRO_T100012	0.3	0.08	0.14	0.54	0.27
CRO_T100013	3.6	0.88	0.23	2.85	4.6
CRO_T100014	0.28	0.19	0.12	0.04	0.22
CRO_T100015	18.41	15.23	14.76	13.5	25.79
CRO_T100016	0	0	0	0	0
CRO_T100017	0.73	0.37	0.82	1.32	0.76
CRO_T100018	51.2	38.26	41.25	46.18	47.74
CRO_T100019	0.06	0.06	0.07	0.06	0
CRO_T100020	0.16	0.22	0.09	0.11	0.27
CRO_T100021	0.28	0.33	0.11	0.34	0.42
CRO_T100022	0	0.1	0.11	0.35	0
CRO_T100023	36.16	63.77	57.36	60.68	66.52
CRO_T100024	0.58	0.81	0.52	0.41	0.85
CRO_T100025	56.95	25.08	32.33	46.44	25.67
CRO_T100028	0.95	0.31	0.41	0	1.02
CRO_T100029	0	0	0	0.15	0
CRO_T100032	0	0.16	0.18	0	0.34
CRO_T100033	0.45	1.03	1.01	0.95	0.62
CRO_T100034	0.88	0	0.39	0.48	0.62
CRO_T100035	0.33	1.44	0.61	0.63	1.37
CRO_T100036	0	0.34	0	0	0
CRO_T100037	0.31	1.2	1.05	0.71	0.55
CRO_T100038	0.14	0	0	0.32	0.34
CRO_T100040	0.73	0.38	0.19	0.67	0
CRO_T100041	0	0	0	0.46	0.2
CRO_T100042	0	0	0	0	0
CRO_T100043	0.92	1.19	0.44	0.68	0.71
CRO_T100044	0.38	0.38	0.23	0.11	0.59
CRO_T100045	0.25	0.13	0.39	0.74	0.73
CRO_T100048	86.55	39.35	41.38	86.53	80.09
CRO_T100049	0	0.08	0	0.19	0
CRO_T100050	0	0.13	0.08	0.07	0.15
CRO_T100051	0	0	0	0.36	0
CRO_T100052	0.39	0	0	0.22	0.22
CRO_T100053	1.72	1.02	1.08	0.84	0.86
CRO_T100055	0.58	0.51	0.79	0.12	0.28
CRO_T100058	27.45	35.14	32.18	36.11	37.59
CRO_T100059	0.06	0.06	0	0	0.06
CRO_T100060	0.33	0.23	0.27	0	0
CRO_T100061	0	0.28	0	0	0
CRO_T100062	0.1	0.1	0	0.11	0
